date,close,high,low,open,volume,rsi_14,MACD_12_26_9,volatility_20,close_lag1,volume_change,intraday_return,target_return
2024-02-01,58190.7734375,58449.39909722222,57932.147777777776,57932.147777777776,2549300,49.13915902778191,-217.19269152812194,0.0063070636863195445,57759.73046875,-0.42597554659881565,0.004464285714285739,2.619399602335127e-08
2024-02-02,58104.56640625,58363.192072746664,57759.73218425445,58190.77496174889,2677300,48.17280174284343,-195.25499056115223,0.006302416497978531,58190.7734375,0.05020986153061635,-0.0014814814814814949,-1.5600835447004396e-07
2024-02-05,58621.80859375,58794.22567784927,57932.14025735294,58104.55734145221,3565900,54.01602463356602,-134.58071996809304,0.006671989289737304,58104.56640625,0.33190154259888693,0.008902077151335279,0.001470692085667977
2024-02-06,58276.98046875,58794.23177468565,58276.98046875,58708.02322369637,2463800,49.97112911604235,-113.01787155509373,0.006517725528609023,58621.80859375,-0.30906643484113405,-0.00734214390602048,0.0
2024-02-07,58276.98046875,58535.60612171782,57932.1462647929,58276.98046875,2736300,49.97112911604235,-94.83594904856,0.006513601987929698,58276.98046875,0.11060150986281347,0.0,0.0
2024-02-15,58276.98046875,58621.8146727071,57932.1462647929,58276.98046875,4115500,49.97112911604234,-79.51010151154333,0.0062016201300821566,58276.98046875,0.5040382998940174,0.0,0.002958622907160812
2024-02-16,60345.98828125,60604.61394531251,58190.7744140625,58449.40007812501,11114600,67.95434458037816,98.4524831856761,0.010018115237275312,58276.98046875,1.7006682055643298,0.03244837758112082,0.012857052855986666
2024-02-19,61983.9453125,62587.405141689844,60949.442748174544,61121.85984222878,7144500,75.47135645100742,367.4231320004692,0.011120205044532885,60345.98828125,-0.3571968401921797,0.014104372355430295,-0.0027816694705361353
2024-02-20,61639.109375,62414.986276223775,61466.692285839155,61811.52646416084,4435700,71.6602665336153,546.4596836986748,0.011213473141233428,61983.9453125,-0.3791447966967597,-0.0027894002789399987,4.924066550343013e-08
2024-02-21,61466.6953125,61983.94660545231,61208.06966602384,61639.11241015077,3590200,69.76338829783762,666.749197180754,0.011275384565873157,61639.109375,-0.19061253015307622,-0.002797202797202721,-1.047343535975052e-08
2024-02-22,61725.3203125,62673.61433964735,61294.27757288757,61466.69466873254,4698100,71.00330370439065,774.0258906817398,0.011144719843205616,61466.6953125,0.3085900506935546,0.004207573632538602,0.0027933171835223297
2024-02-23,61208.0703125,62673.61565801057,61208.0703125,61897.738710387326,6142500,65.2410234364543,807.9916660379968,0.01117018586495208,61725.3203125,0.3074434345799366,-0.011142061281337082,0.0
2024-02-26,61208.0703125,61811.53016065141,60949.444663292255,61208.0703125,3138400,65.2410234364543,825.3951462625555,0.011168170557949275,61208.0703125,-0.4890679690679691,0.0,0.00281697162954395
2024-02-27,62070.16015625,62414.99437934027,61294.28315429687,61380.491710069444,5282500,69.95426829453852,898.3948388599965,0.011176728579571438,61208.0703125,0.6831825133826153,0.011235955056179785,0.00555544318977671
2024-02-28,62242.5703125,62587.404497056785,61639.11048952562,62414.98740477839,3509000,70.80683659309777,959.1037291273897,0.010973449016564428,62070.16015625,-0.3357311878845244,-0.0027624309392264455,0.0055402785690576856
2024-02-29,62070.16015625,63190.8713812934,61725.32593315972,62587.41149088541,6568800,68.70725068530268,981.9842007285988,0.010850797654416747,62242.5703125,0.8719863208891423,-0.008264462809917248,0.0013887588821346437
2024-03-01,61639.109375,62156.36064248251,61380.48374125874,62156.36064248251,4487700,63.62737875123182,954.3339756927599,0.011103656998964352,62070.16015625,-0.3168158567774936,-0.008321775312066487,0.004195934566987097
2024-03-04,62070.16015625,62673.62004665798,61725.32593315972,61897.74304470486,5014600,66.3098657055596,956.1809104146232,0.011103940363721787,61639.109375,0.11740980903358067,0.0027855153203342644,6.034653593200441e-09
2024-03-05,62932.24609375,62932.24609374999,61811.53486194349,62070.160530821915,5530900,70.9277997639968,1015.5016786677588,0.011259654216763875,62070.16015625,0.1029593586726758,0.013888888888888935,0.004109505708539249
2024-03-06,61897.73828125,63363.283616599925,61897.73828125,63190.86651832346,4833900,60.25442353876588,967.8805556049119,0.01218213031368039,62932.24609375,-0.12601927353595255,-0.02046384720327413,-0.0013926808105010353
2024-03-07,62070.16015625,62156.368712022566,61466.70026584201,61811.53448893229,5217600,61.299727568391454,933.2950326285645,0.012147612310492011,61897.73828125,0.0793769006392353,0.004184100418410105,0.0013888762848443328
2024-03-08,60345.98828125,62846.0363671875,60345.98828125001,62156.367929687505,7361000,47.77017260745668,758.0214957367862,0.013977784938318992,62070.16015625,0.410801901257283,-0.02912621359223309,0.02026036089520207
2024-03-11,61393.95703125,62267.27078702881,61131.96290451636,61568.61978240576,4268400,54.36330254276402,695.6591492177395,0.014322072739049318,60345.98828125,-0.4201331340850428,-0.0028368794326240955,0.0014225708634455505
2024-03-12,61131.96875,61655.95705357143,61131.96875,61481.294285714284,3844000,52.576474649455164,617.972671255884,0.014277345294741142,61393.95703125,-0.09942835722987531,-0.005681818181818159,0.0014285287686185346
2024-03-13,61830.6171875,61917.94856770833,61131.96614583333,61219.297526041664,5706500,56.66681126191368,605.7974123540916,0.014400591179697992,61131.96875,0.48452133194588964,0.009985734664764661,0.002824890569407561
2024-03-14,61568.625,62267.276063829784,61393.962234042556,62005.28191489362,5476400,54.75942595274886,568.4550559512136,0.014478966211543882,61830.6171875,-0.040322439323578374,-0.007042253521126773,0.007184001668739709
2024-03-15,60860.9453125,62010.93410474201,60772.48463617369,62010.93410474201,4851100,49.87590024009541,476.26702323157224,0.012591304581798498,61568.625,-0.11418084873274414,-0.018544935805991498,-1.0416772069544314e-07
2024-03-18,60064.79296875,61126.32097408873,59799.410967415315,60860.93897275405,6796300,45.012380282807555,335.10165936881094,0.011253112424486754,60860.9453125,0.40098122075405573,-0.013081395348837167,0.008836519752352228
2024-03-19,59976.33203125,60595.55669823931,59976.33203125,60595.55669823931,3222100,44.49322901037939,213.62648002483184,0.01121268455702716,60064.79296875,-0.525903800597384,-0.010218978102189778,-5.593505462299955e-08
2024-03-20,60153.25,60684.01397058824,59710.94669117647,59976.32867647059,3657800,45.83864490874984,130.13224323084432,0.011246060298506756,59976.33203125,0.13522237050370878,0.0029498525073745727,0.0029413242493473036
2024-03-21,60507.1015625,60595.56223729898,60064.79818850512,60330.18021290205,5061700,48.52604299519512,91.4610171873428,0.011293168342711688,60153.25,0.3838099404013342,0.002932551319648029,0.0029238849305864636
2024-03-22,59976.33203125,60772.47803166482,59976.33203125,60684.01736495206,6162600,44.92521638386202,17.78016788331297,0.011307105940214331,60507.1015625,0.2174960981488432,-0.011661807580174821,0.0014749691884310277
2024-03-25,59534.03125,60330.1772845468,59357.109908989594,60064.7952730312,5588600,42.12032862363629,-75.43286945328873,0.01139423395734675,59976.33203125,-0.09314250478694053,-0.008836524300441812,0.0014858366375395345
2024-03-26,59887.87109375,60064.792426375556,59534.028428498896,59622.48909481167,2524500,45.07474113402503,-119.37685282863822,0.01095163090530313,59534.03125,-0.5482768493003615,0.004451038575667581,0.004431314623338304
2024-03-27,59887.87109375,60153.253092688334,59710.949761124444,60153.253092688334,2815600,45.074741134025025,-152.44547965742822,0.010908977820047547,59887.87109375,0.11530996236878588,-0.0044117647058824,0.0
2024-03-28,59887.87109375,60507.09575793944,59799.41042743722,59887.87109375,4492200,45.07474113402503,-176.61667754713562,0.010914527654683986,59887.87109375,0.5954681062650944,0.0,0.010339795537252536
2024-03-29,59799.4140625,60507.09943602071,59710.95339080991,60507.09943602071,3694900,44.36762469986224,-200.5979014345503,0.010845326830907191,59887.87109375,-0.17748541917100757,-0.01169590643274856,-2.690898929523596e-08
2024-04-01,59268.6484375,59887.87312266791,59268.6484375,59799.41245335821,5013000,40.28400369984588,-259.44087141546333,0.010774774680411351,59799.4140625,0.35673495899753704,-0.008875739644970383,1.3514470401198378e-08
2024-04-02,59534.03125,59622.4919205052,59003.26722696879,59268.649238484395,4322900,43.103796676892905,-281.41618340717105,0.010224237435457969,59268.6484375,-0.13766207859565127,0.0044776119402985615,3.905345100791603e-08
2024-04-03,59003.26953125,59534.03357500937,59003.26953125,59534.03357500937,5046100,39.124662123828756,-337.7662523219551,0.009823569634075451,59534.03125,0.1672951028244929,-0.008915304606240753,-6.397127347077438e-08
2024-04-04,60330.17578125,60507.09711785191,59003.26575673571,59003.26575673571,8598100,51.24282902095893,-272.21590742815897,0.01124967836604487,59003.26953125,0.7039099502586155,0.022488755622188814,-1.3445432647838602e-08
2024-04-05,60064.79296875,60330.174970084685,59887.87163452688,60330.174970084685,4233800,49.13607773803071,-238.92676291104726,0.009427219374650724,60330.17578125,-0.507588885916656,-0.004398826979472166,0.0014727789354578517
2024-04-08,59268.6484375,60153.25513059701,59180.1877681903,60153.25513059701,3716000,43.37476897680007,-273.6328172732974,0.008897304181820795,60064.79296875,-0.12230147857716467,-0.014705882352941126,0.0014925373134328306
2024-04-09,59268.6484375,59534.0304454291,59091.7270988806,59357.1091068097,2516000,43.37476897680008,-297.70584770215646,0.00888422325917101,59268.6484375,-0.32292787944025836,-0.0014903129657227966,0.001492528222800485
2024-04-10,59091.7265625,59534.02990503368,59091.7265625,59357.10856802021,4464100,42.10247555811213,-327.2872507708962,0.008347914350568092,59268.6484375,0.7742845786963435,-0.004470938897168389,-0.0014970151059554313
2024-04-11,58914.8046875,59180.18669059685,58826.34401980105,59003.26535519895,2947700,40.81322967705094,-360.8472204028585,0.008336801083343587,59091.7265625,-0.33968773100961,-0.0014992503748126062,0.0030030739921545575
